"title","state","category","description"
"Mom's Disembodied Sobs","Louisiana","Apparitions / Voices / Touches","My experience happened in 2015. I had just moved backed to New Orleans from Florida and gotten an apartment. Then came hurricane Katrina. My parents and I evacuated to my sister's house in P.a. We were very stressed, especially my Mom. My sister had a large old house, and Mom and Dad and I were sleeping downstairs. Them in a bedroom and I on the living room sofa. My sister slept upstairs. 

 At 4:00 a.m. I awoke to my sis, Heather, standing over me and telling me to get up. Frantic, she asked if I heard Mom sobbing loudly, and I said I did not. We went upstairs, and she told me what happened. She was sleeping and awoke to the sound of Mom sobbing and screaming, coming from outside. She looked out her bedroom window and saw Mom leaning against a tree, yelling into her phone. She thought, what's going on? Heather ran downstairs and opened the door. Mom wasn't out there and it was silent. 

 Confused, she ran back inside to wake up Dad. She was shocked to see Mom in bed with Dad, sound asleep. That's when she got me up. 

 We went upstairs and she's telling me what's going on, when suddenly we heard Mom sobbing and screaming at the top of her lungs, sounding like she was at the foot of the stairs. We started running down, and when we reached the bottom everything went completely silent.

 I vividly remember the atmosphere feeling thick and prickly. We went into the bedroom to wake Dad up, and there was Mom, sleeping with Dad. They were both deeply asleep. We roused them both and related to them what happened. We were all at a loss explain this experience. To this day we still talk about it.

 My sister and I have witnessed other strange events, always together. Thanks y'all for reading my story, and I wish you all the best."
"Devil's Den In Gettysburg","Pennsylvania","Haunted Places","This event took place in July of 2013:

I am a member of the Boy Scouts of America, a Star Scout at the time (for those interested, I have since gotten my Eagle Scout). At the time, I was 15 years old and did good in school. Due to my grades, my parents allowed me to go on our units upcoming scouting trip to hike the Blue Ridge Mountains in Virginia, and then tour Gettysburg, PA on the way back home to New York. My dad, being an Eagle Scout and a troop leader, was tagging along. We (about 12 of us) were all very aware of the history of the Blue Ridge Mountains involving the American Civil War. My dad mostly wanted to tag along because he grew up in Roanoke and has always been sensitive to the paranormal, and was seeing if he could experience anything during the trip. Boy, did he...

We had been in the mountains for 10 days, hiked over 45 miles, sleeping in hammocks in the woods. Occasionally in the night, we would hear leaves being stepped on, a twig/branch breaking, but that was to be expected, considering it was the outdoors. The part that inspires me to tell this story happened on our way home, in Gettysburg. 

We decided to hike 5 miles through Gettysburg to get a 50 Miler Patch. We looked at everything during the day, but a lot of us agreed that we'd like to go on a ghost tour at night. So that night we did. And it honestly went as you'd expect. Walking around at night, learning about the history, but nothing out of the usual. When the tour was over, some of us wanted to do our own ""ghost tour"". We went into a shop and bought a pendulum. My dad has used a ouija board and a pendulum in the past, and knew how to properly open and close a session, so he was going to help us.

It was roughly 11pm when we took the pendulum to Devil's Den, an area with large boulders that has a steep drop off to some smaller boulders down below. You may want to google what it looks like to get a better idea. We parked the cars about 30yds away from the bottom. A few of the other parents stayed at the cars and talked, while the rest of us made our way to the smaller boulders, where we would sit down and start using the pendulum. Once my father opened the session, we started asking generic questions, like ""Did you die during the Battle of Gettysburg?"", ""Did you fight for the Union or the Confederates?"" and such things. About 15 minutes in, someone asked ""Are you an ancestor of someone that is here right now?"". It said 'Yes'. We went around the circle saying, ""My last name is ____, are you my ancestor?"". When it was my turn to ask, it said 'Yes'. It gave me chills, because my great great great grandfather, Hermann, did fight in the American Civil War. My father then asked ""Are you Hermann _______?"". It said 'Yes'. Suddenly my father yelled, ""Bulls**t! Hermann never fought in Gettysburg and didn't die in the war!"". Then, I heard a *thud* from behind me. Looked, and I didn't see anything. My dad said, ""We don't want you here anymore, please leave."" I hear another *thud* and then about 10 seconds later, I feel something hit my backpack, as if something fell onto it. I turn around, and there was a rock, about the size of a softball or a grapefruit, that fell down from the top of the rocks. My friend then shouted in pain as a rock in similar size, hit his arm. 

Considering there's a staircase that let's you climb to the top, I thought that there was someone up top that was throwing down rocks, not knowing we were down there. I shouted to the parents at the cars, asking if they could see someone up top. They said that they saw the silhouette of a guy on the top of the rocks. Me and my friend run up the stairs to confront this guy and tell him to stop. We got up there and the crickets, the frogs, everything went quiet. It was really unnerving. We didn't see anything. We shouted back down, ""There's nobody up here!"", to which the parents below replied, ""What do you mean? He's right in front of you! Just standing there!"". That's when chills went up my spine and I froze. I noticed how cold it was compared to down there. Easily 8-10 degree difference. I just turned to my friend and we shared the mutual look of 'we should go'. His flashlight, in which there was brand new batteries, died. That made us both go pale. 

Completely chilled to the bones, we sprinted back down to the bottom and told everyone that we should leave, and that whoever is here, doesn't want us here. My father closed the session and packed everything up. We got in the car, did a quick prayer, asking God to prevent anything or anyone from becoming attached and following us back home, and left. Every time I tell this story, I get chills and my voice shakes, as this event had such an impact on me. But eventually I want to go back to Gettysburg and try to catch something on camera..."
"Blues Brother","Georgia","Misc","My brother died in a tragic accident several years ago.

A few months after he died, my mother and I were sitting in her living room reminiscing about him when she suddenly asked me if my son (who was 10 years old at the time) would like to have my brother's black fedora hat.

My brother liked hats, specifically the fedora because when he was a teen he loved John Belushi and The Blues Brothers skits on SNL thus developing an affinity for the black fedora. 

I was a bit surprised that she offered because I had not mentioned to my mother that my son had recently asked to get a black fedora. It was an odd request from him because my son is pretty quiet, low key, and decidedly not one to wear a fedora. 

He and my brother were not ""close"" because we didn't see each other all that often - mostly just on holidays or birthdays - however, I'm certain my brother did love him. Furthermore, I had never discussed my brother's black fedora with my son and I don't recall seeing my brother ever wear it although my son may have seen him in it in a photo somewhere at my mother's house. So when my son asked for one I just thought it was one of those phases kids go through, with hats, haha. 

My mom gave the hat to my son that day and we left her house. It was a short drive home during which my son was grinning from ear to ear while wearing the fedora. 

My brother was very heavy on my mind during that drive home and I felt a deep sadness. The news was on the radio and it was mostly bad - so I changed the station in search of something to lighten the mood. 

The first station I switched to was playing ""Soul Man"". It was my brother's favorite cover song that John Belushi and Dan Aykroyd sang in the skit. 

I found a lot of comfort in that. It was such a coincidence that the song came on, I had never heard it on the radio before and I don't think I have since then. Was it my brother giving his ok for my son to have something of his that was significant? Or was it a mere coincidence? Who knows for sure, but I felt comforted and a sense of wonder."
"Ignis Fatuus (ghost Lights)","Florida","Haunted Places","Ghost lights (Ignis Fatuus) 

We always loved taking the kids camping. 

One summer night under a warm, muggy clear night sky in 2011, the time was only an hour or two into sunset. We were walking across the campground to the lake, which has a pier across it that's four feet wide.

 I was gazing into the darkness of the woods beyond the lake, which was marshy with hardwoods and some pines and very few bushes. I began seeing what I thought was lightning bugs. 

As we began crossing the lake I'm thinking that getting closer would help me finally catch it with my direct vision as I had lucked out on with the first couple. I began thinking I can't follow them! Which was an instant problem. 

All my life I have been accustomed to lightning bugs appearing in summer here in the south; and watching and following them with my eyes. 

I noticed that as I was trying to follow, ""the bugs"", I couldn't. Now keep in mind my first glance was caught directly with my eyes which turned immediately to peripherally noticing them. By this point I knew it was not lighting bugs and realized what I was seeing ghost lights. 

 I'd ran across the term researching Halloween folklore and many other things the internet of knowledge can reveal, a few years before. Anyway, there was an incredible number of flashing lights throughout the woods. They seemed to be bluish-white in color and were a pulse of magic in the darkness. There were more appearing in the first few feet off the ground than upwards. As I looked higher they were not present. By now I'm scanning my eyes all different directions and catching dozens pulsing.

I brought it to the attention of my kids and their mother who saw them. We did seem to see a similar light activity in the lake, but could have been reflections. I've also camped other times there and did not see them. JWW"
"The One Who Was Spying On Us","California","Apparitions / Voices / Touches","I use to work inside a warehouse and I had three incidents when I saw someone who actually wasn't there. 

The first time I saw someone I thought it was our boss who was real pain in the butt. The managers inside the warehouse would wear a red vest, he is Caucasian, with blonde hair and blue eyes. I was working in a certain area just minding my own business, and I look over to the left of me where there are just some tables with computers (it is always empty because that area is only used during the day time and I worked overnight). But when I looked over to my left I saw our boss leaning over on the side of a computer and spying on us to see if we were working. I clearly saw his eyes looking at us, his blonde hair and red vest. I just rolled my eyes because I was irritated that he was actually spying on us, it took like 1 second for me to roll my eyes and when I looked back no one was there. It was impossible for anyone to move that fast or hide anywhere else, it was an open space and I can see everything around that area.

 It was really weird I thought I was just seeing things until it happened again a long time after.

The second time I saw something like that it was just me and one of my co workers. We went to lunch 30 minutes earlier than everyone else because we wanted to get some work done without any distractions. But when we came back our manager (a different one than before) wanted us to go to the back dock to make sure we didn't get backed up while she was loading packages onto the conveyor, we did not want to because we had our own work to do but we just sucked up and went to the back. There is a board where we hang up our the scanners and right there is where I saw her standing behind, peeking her head out spying on us. She's a short Hispanic lady with dark hair and always has a bun with a hair band in her hair and of course with a red vest. I saw every detail and I even saw her smiling, kind of like a giggle. I turned to my co worker to tell her and when I turned back which was about 2 second later, no one was there, no way anyone could leave that fast and nowhere to be found.

The last time I saw someone when I went to work early to put in some over time, I was the only one there in the back dock cleaning up. Then I saw a girl walk out of a trailer where we load packages (wearing an orange vest so this person really stood out, we all have to wear some type of vest for safety and visibility), she was walking towards the ship clerk desk that was just left of where I was standing. I walked the same way as her and I saw her walking passing the poles and big cardboard boxes (the only time I did not see her was as she was behind the cardboard boxes passing them), and once I got to the ship clerk desk I did not see her anymore, she was not anywhere in sight, it was weird but then again I was use to seeing things like that at work by this point. I did not get and bad energy from these experiences, I wonder if anything has happened in that area."
"Have You Seen Her?","North Carolina","Apparitions / Voices / Touches","3:30. The time I've been so anxiously waiting for all day. So mentally exhausted from a long day of pointless algorithms and discussions about why we should buckle down on learning the theme of the book we'd been assigned that week. I had been so eager to burst out of the school building and smell that oh so splendid smell of diesel that would carry me home. When I saw the three numbers that meant freedom I bolted into the crowded lot. I searched up and down the rows trying to find the big yellow contraption.

 ""Hey Erin!"" My friend Darla called out, running to catch up with me. ""Hey D"" I replied. ""Any fun plans for this weekend?"" She questioned. ""No just working"" I shrugged. Where was my bus? I scanned each of the rows and stopped dead in my tracks when I saw something very unusual and very out of place. As a junior in high school the sight of this was rare. A tiny child... A tiny girl who I assumed was only six or seven stood at the bus's steps. Something about her held my attention and wouldn't let it go. It was as if she'd glued my eyes to her and made everything else in the world disappear. Her hair was an orange red color and tied neatly into two pigtails, she held her purple flower dress neatly in place, and she held what looked like an old bag someone would've carried perhaps in the 1940s era. I couldn't look away on my own. I also noticed how a yellow glow, perhaps the sun, surrounded her. ""Erin? Is everything okay?"" Darla asked. ""Y...yea"" I stammered. ""I'm going to... Go over here. See ya later"" I began taking steps to the bus this little girl was standing at. When I'd turned my attention back to the spot after bidding Darla goodbye I couldn't help but let jaw fall agape. She was gone. The little girl had vanished. Surely I wasn't seeing things I thought to myself.

 I walked to the bus and looked at the bus driver. ""Um excuse me"" I said. ""Have you seen a little girl? Red hair? Dress. Six years old I think?"". ""Mm sorry darlin"" she shook her head. ""Don't no one under 14 ride my bus"". I looked out into the distance and thought surely I hadn't seen a ghost? A spirit of some sort? I'd only seen that in movies. I shook my head and hopped down back onto the asphalt and made my way to my bus.

 I knew better than to tell the delinquent children on my bus what had happened. The whole bus ride had been filled with my thoughts. Who was she? What was she? Was she in fact... A she? A person? From that day forward I'd forever be asking myself have you seen her?...this is my ghost story. Maybe you'll find her too..."
"Grandmother Mary","Nevada","Apparitions / Voices / Touches","I was a young girl, maybe 9- 10 years old. I had been going to this elementary school in Las Vegas where we had a small fundraising carnival going on. My father had taken us to make up for not seeing us for almost a month.

 My little sister and I were all over the place having fun and playing the games when I got this retching feeling in my gut. It felt like a vortex swallowing me up from the inside out and all I wanted to to was lay down. I stood frozen trying to gather my bearings. My father didn't notice he was looking for my sister who had gone to participate in the Cake Dance game, but I was standing in the middle of a large crowd frozen -yet aware of my surrounds- when my vision began to blur and darken. I tried to look around as if someone could help but then I saw a figure in front of me. She looked as if she had been crying at first but then she smiled at me and waved goodbye to me then disappeared. The feeling that had me frozen left me instantly and I could see my father running up to me with his phone pressed against his ear saying ""we need to go now.""

 We got into the car and drove to my grandmother's house where my grandfather had been sitting on the porch crying, as my dad ran inside. Grandpa walked to the car and sat in the back seat, I asked him what happened as soon as he closed the door. He simply looks at me and I see the familiar face of tears as he spoke ""Now...you are going to need to give your daddy some time, me too.""

""What happened, grandpa?"" I asked again. And it was then he had just told me my grandmother Mary had passed away. I didn't know what it had meant but I didn't cry even though she was my favorite person in the whole world... But I had felt as if I had been given closure from the spirit I had seen at the carnival."
"The Play Room At Gramma's House","Ohio","Apparitions / Voices / Touches","I have been debating for quite some time about posting this. But in reading other similar stories, I thought I would go ahead.

This happened not only to me, but also my older sister at the same time. Way too freaky to be coincidence or childhood imagination.

My sister and I spent the night at our grandparent's house usually a weekend or so a month when we were little. They had a small bungalow type house with living room in the front and a bedroom off of that, dining room next (again, with a bedroom) and you went through a doorway to the kitchen towards the back of the house and there was a small room off of that which we used as a play room.

One morning, when we were probably 4 and 6 years old, we woke up and went to the kitchen for breakfast. After breakfast, we went to our room (off the dining room) to change clothes. Gramma had said that we could play with toys after we got dressed. We came running out of our room headed for the play room and both of us stopped dead in our tracks upon entering. There was a man standing there dressed in what we called old farmer type clothes wearing a baseball cap and suspenders. My sister and I looked at each other then looked at him and he smiled.

Why we decided to play and not be scared still baffles me.

We would see signs of him off and on for years. A small indentation in the daybed or a toy moved from where it had been left. Every once in a while he would be standing there with his arms folded smiling at us as we played.

Fast forward 40 years (yes, I'm showing my age here) and our mother shows us old photos we'd never seen. She hands me one and my jaw dropped. I showed it to my sister saying, ""Hey Mouse! Remember Mr. W from Gramma's?"" She looks at the photo and her reaction was the same as mine.

Turns out he was an uncle, I believe related to my grandfather, who had stayed in that room at the house until he could be moved to a more permanent nursing care facility. We had never met him as he had passed well before we were born, but he was wearing the same type clothes in the photo as in the playroom.

Anyway, I hope you like the story. I feel it just goes to show kids can be very receptive and we naturally know whether or not to be scared.

Thanks for reading."
"Winking Twinkling Charlie","Massachusetts","Children Who See Spirits","I recently read a story on YGS about an experience while very young. In my opinion, many if not all speak and baby talk about seeing someone or something. Unfortunately the young children are easily dismissed as their words are hard to understand or the adults are too busy to listen. Then for most children the event is lost in their minds as there is so much happening so fast. So much to learn quickly.

I was fortunate to have my Mother to myself as my sisters were much older. I can even explain why my memories of my very young years is very vivid. I wish it was different, but I lost my Mom when still very young. I believe I kept memories because those very young years were so special. I can describe an outfit I had worn or a room I visited once. Even words said by an older cousin, is remembered in detail. Trama does that.

I was 2-4 years of age, it was summer and at least once or twice a week we would stop by for groceries at Charlie's. Old Man Charlie had started his store in the early 1900s, when aged in the 1940s, he had been teaching Young Charlie, his Son, all about the business. Old Man Charley died suddenly on a normal day, at his store. 

Young Charlie did his best, and the store thrived. I was smiling and winking one eye and then the other, just as the old man was doing, when Young Charlie said roughly ""why are you doing that"". This made my Mother jump and she pulled me to her. ""My Dad would wink just like that, when I was little."" Young Charlie was different with me after that. He seemed to always be watching me. I did continue to see Old Man Charlie, but had learned to be hush about things I saw. My Mother would not hear anything I had to say, when I spoke of something I saw or heard.

The face was funny, sticking out his tongue from under the loose hay on the floor of our barn. The warmth from the cows helped in the winter, the smells I had long ago learned to love, it was part of what my Father was. I had seen the funny face many times, big blue eyes, his hair was the same color as the hay, hard to tell what was what. My Mother was often at meetings, popular and involved in much. My Dad and the barn were my babysitters. As I played with the barn cat, my Dad asked me what I saw in the hay that made me laugh? I looked down, not wanting him to know. ""Was it a funny face"", he asked. Surprised I looked up, ""I saw him too, when I was young."" This became what my Dad and I could share, perhaps it is where I got this not so rare ability.

Take a quiet moment... A quiet moment of when you were tiny, most of us have some memory of an odd event, something you seen or heard, something that should not have been there."
"The Man Is Back","North Carolina","Shadow People","So to clear things up right off the bat, this story is being submitted on my girlfriends behalf, but I have some experience with it too.

As for some context:

She has a very dark history. When she was a baby, her mother had multiple affairs on her father. At some point, she wanted the guys she was messing around with to beat up her father, to 'get the message' that she was over him. Those two guys ended up shooting him in the head 4 times, and cutting his throat twice. Her mother was sentenced to life in prison. Her aunt had gotten custody of her, but from what my girlfriend told me, she was physically abusive, and at 17yo, kicked her out of the house, right before she graduated high school. She ended up moving in with one of her best friends. Due to all of this, she is not involved in religious activities at all. As ""if there was a God, why would he let this happen"".

My girlfriend and I (both 21yo) have been dating for just under a year and a half now. I met her on a personal vacation at my parents house in New York, while I live in North Carolina, as I am stationed here. We have been dating long distance until recently, roughly three weeks ago, she moved in with me, our first apartment, here in North Carolina.

My girlfriend has a gift. She used to be able to see people and hear people who have passed on. This was when she was younger, roughly between 8-16 years old. After 16, she stopped seeing and hearing them all together. At least until about 6mo ago when she came for my grandfathers funeral, where she stood outside the room as we all said our last goodbyes after he passed away from cancer. I was so upset that he never got to meet her, but when I went to see her in the hall, she told me about how he came to her, and finally met her, before passing on...

 But there's no gift like this that doesn't have a dark side... She told me about who she calls ""the Man"". A very skinny and pale man with pitch black eyes. She could feel his presence, whenever he was near, very oppressing. She told me about how when she was younger, he would sometimes be in a corner of her room at night, looking at her. A few times he was actually on top of her, pinning her to the bed. Other than that, he wouldn't harm her. She told me that she heard him mumble or like whisper, but could never make out what he was saying. This all occurred when she lived with her aunt, and stopped when she moved. To her, the malevolent spirit was tied to the house, as it would have followed her. It was a huge relief, as it felt like it was feeding off of her fear.

Fast forward to her moving in with me, about 4 years later, we had just finished getting settled into our cozy 1 bed 1 bath apartment. Relatively new, built in 2013. Not a worry in the world. But then she told me about how right before the move, she started seeing shadow people. Not harmful or anything, just shadow people out of the corner of her eye, minding their own business. But she also felt like she was being watched. Then it continued when she came down to NC. Seeing them in the corner, or at a quick glance, but nothing really that would obstruct with her day. I never saw anything like this in our new place. I occasionally heard footsteps in the night, but I just waived it off as our neighbors. 

One night, about a week into us living there, its roughly 12:15AM, we laid in bed, with the lamp on. On our cell phone checking Facebook and things like that. When we decided to go to sleep, I turned the light off and closed my eyes. I heard her start to cry, while trying to be quiet. I rolled over asking her what's wrong. She tucked her face into my neck and cried and whispered, ""The man is back. He's here"". I asked where he was, and she replied with, ""on the ceiling"". I looked up at our ceiling fan and saw a black mass. Kind of shaped like a bent oval. No light source could've casted this shadow, and it was getting darker. I quickly turned the light on and held her for a little while. I then went to my closet and dug out my Bible. She said she felt his presence leave at that point, but asked me to read some of it to maybe comfort her. As I was reading, maybe a page worth, she stopped me. Told me that the more I read, the more she was feeling sick to her stomach. I began to hear footsteps in our living room, walking around. Heard them walk up to our bedroom door, but that was the last time I heard them. That whole ordeal lasted about 10 minutes.

Since that night, about a week and a half ago, we haven't experienced anything except for the occasional shadow person minding their own business. I check every part of the room when I go to sleep at night, and keep our Bible out on the nightstand. I can't tell if this is a malevolent spirit, a demon masquerading as a pale, skinny man, or whatever. I just want answers... I suggested church, but she's iffy on the idea. We want to burn some sage, but have yet to find a local shop that sells it. Any suggestions would be appreciated. Thank you"
"Grim Reaper Or Shadow Person?","Tennessee","Shadow People","When I was little, about seven years old, I would always see this sort of figure. It was almost like a shadow but it was pitch black. It had a pointed hood, just like the grim reaper. Now I know that some people say that the grim reaper is supposed to stand for death, but I didn't feel that way. Whenever this figure came around I wasn't scared of it. It was more like a companion. 

 One afternoon my best friend came over and we were going to go outside and play. We went out the back door and stepped on the back porch. 

 (I had previously mentioned to him that I was seeing this figure.) Anyway, when we stepped outside I saw it standing in between the neighbors yard and my yard. I pointed at it and told my friend that I saw it. But he claimed that there was nothing there. I didn't think anything about it and we just went about our day like nothing happened. 

 About a year ago I suddenly remembered that I used to see this figure. I haven't seen it since I was little. But I have done research, and I learned that they are called shadow people. Although, I am still confused on whether I saw a shadow person or the grim reaper. When I saw this figure, I also noticed that it didn't hold a scythe, like the grim reaper does. If any body has any suggestions to what I may have been seeing, I would love some input. 

 I haven't told many people about this experience in the fear of them not believing me. I haven't known of anybody else who has seen this sort of figure. But again, if you have any suggestions, I would love to hear them. 

 Thanks, Em1234"
"Rock Isn't Dead","Georgia","Family / Friends Visits","On March 9th, 2018 I was awoken suddenly at 1:14 am by the sound of a few notes played on my 12-year-old son's electronic keyboard in his room. 

I waited a moment before getting up to investigate, just in case I was dreaming. Then I heard a note played a second time. I thought that maybe my son must be up, in which case it would have been very unusual. Our rooms were close together and I would have heard it had he been up. 

I laid in bed a short moment, trying to figure out who was playing the keyboard at that time of night. The cat sometimes sleeps in his room so I rationalized that the cat decided to play a little night music. The notes, however, sounded too composed to be a random cat walk. Also, the cat had no history of jumping on the keyboard, it was not entirely sturdy enough to handle a pounce. 

I decided to go investigate. 

I wasn't worried, just curious, as I crept down our hallway to his room. I quietly peeked in to find that he was sound asleep. I used to work nights at a psychiatric hospital and it was part of my job to check on the patients throughout the night. I knew the signs of deep sleep and my son was definitely sleeping soundly.

After scanning the room and finding nothing amiss, I decided that maybe my son forgot to turn the keyboard off and it just sounded a note for no reason, maybe an electric issue or something of that nature. Eager to get back to bed, I went to my room. When I reached my doorway (only about 10 feet from my son's door) it dawned on me that his keyboard display was not lit up like it does when the keyboard unit is turned on. 

I went back to his room for further investigation. I saw the cat awake on his bed, blinking sleepily but standing up and facing the keyboard. The cat is not nocturnal - when we turn in for the night he picks a room/human to sleep with and snuggles in for the duration, often curled into a ball on the bed. I thought it unusual for the cat to be staring at the keyboard so I walked over to the keyboard and pressed some keys. No sound came out, confirming that the power was turned off. 

I checked my son again and he was softly snoring. I shrugged the incident off as unusual but not alarming, thus went back to bed. 

The next morning, I woke my son up for school. As he rolled over in bed I saw the back of his tee-shirt and couldn't help but smile at the words printed on it - ""ROCK ISN'T DEAD...it's just played by Ghost Of"".

The shirt belonged to my deceased brother who had been in a band called ""Ghost Of"". He died suddenly and tragically in 2015. He loved music and his lifelong dream was to be in a band. He finally made his dream come true a few years before his death. My son had never worn that shirt before even though it had been in our possession for some time. It is curious that the first time my son wore that shirt I was awoken by the sound of a musical instrument in my son's room. But that wasn't the only coincidence. 

My brother and I were very different people, he was charismatic and outgoing with many friends. I am a quiet introvert who prefers staying home rather than going out to parties. Despite our differences, we had two main things in common: a love of ghost stories and music. We would often sit around the table telling ghost stories and he would jokingly tell me that he would come back to visit me when he died. 

Maybe it is true, ""Rock isn't dead, it's just played by ""Ghost Of""."
"Invisible Stalker?","Michigan","Haunted Places","This is my first year up in Marquette and I always like to know if the town I'm living in is haunted or has haunted places to visit. I did my research and found a couple places that are haunted. One of those places is the NMU college that I'm currently attending. I read about the stories and got a little spooked since I was in my dorm room by myself.

 While I was reading the stories my roommates bookshelf fell over. This normally happens so I thought nothing of it and picked up everything (remember this).

 I decided to go to my friend's house which is about two miles away from campus. It was cold out so I figured I would drive there. As I'm walking to my car, I hear footsteps coming from behind me. My first thought was that it was another student walking to their car. But these steps got closer and closer and closer until I got nervous and turned around, no one was there. I freaked, ran to my car, locked the doors, and drove off. Everything was fine during the drive to my friends house and during the time I was there. I didn't tell them what I experienced since I didn't want to make it a big deal.

After spending some time with them, I decided to leave since it was a school night (this is where it gets creepy). Instead of walking to my car this time, I immediately ran to my car and locked the doors. Across from where I parked was a gas station. At that gas station there was a person sitting by the doors that go into the gas station. The person was wearing all black with their head down. Warning bells were ringing in my head and the little voice in my head was also saying ""Go go go! Start your damn car!"" I listened to those instincts and drove off.

 For the first mile there was no cars and no one walking around. Then, out of nowhere a person pops up in front of me, also. Wearing. All. Black. I act normal and keep driving towards the person until I'm roughly 40 feet away and they decide to cross the street! I slam on my breaks as they take their time crossing. At this point I wasn't even thinking about paranormal stuff. I was just pissed off that someone decided at the last minute to cross the street. 

I finally arrive at campus and go to every parking lot near my dorm, then farther parking lots, and eventually realize there's no parking spots; like usual... I park on a side street and start walking to campus. It was roughly a seven minute walk to my hall, so I picked up the pace, walking a little bit faster. I'm about halfway to the dorms when I hear someone say ""hello"". I immediately do a 360 to see where that ""hello"" came from. In my head I was thinking it was coming from a person in their house or from a car parked in the lot I was walking pass. Nope, neither. With everything that had already happened, I clutched my pepper spray and ran to my dorm. 

As I'm closing in on my hall I check to make sure no one was behind me just in case I was being stalked. Praying that I won't see anything, I end up seeing a dark figure coming right at me closing the gap between us. I struggle to open the door and feel as if I'm paralyzed in fear. The hairs on the back of my neck stand up when I feel heavy breathing. I don't bother looking back again and open the door to my hall. As soon as I step inside I feel safe. I make it to my dorm and drop all my stuff on the floor and lay on my futon. I go to pick up my phone and out of the corner of my eye, I see the bookshelf knocked over. But this time only the books were off the shelfs... The shelf was still standing upright. 

To this day only the books fall of the shelf at random and I constantly feel like I'm being watched. I have never truly believed in ghosts. I was only interested in reading stories and never thought I would be writing my own experience. I want to believe that it was all a dream, but it was very much real."
"I'm Being Followed By A Dark, Cloaked/hooded Entity","Missouri","Apparitions / Voices / Touches","The first time I recall seeing him was when I was around 8 years old. My bed had recently been moved to face the window in my room. It was nighttime but quite well lit outside and I saw this cloaked, black figure with a hood covering most of his face. What I could see of his face was white and maybe translucent and there seemed to be some blood dripping down it. I'm not sure if I would say he was solid but I did see him very clearly.

The next time I saw him was when I was around 12 or 13. I was sitting in my basement (different home) with a friend, facing her. I blinked and in my mind's eye I saw the basement from her perspective somehow and saw him standing behind me in a doorway.

I went to a little wiccan shop and scared the daylights out of the owner. She basically ran away as soon as I entered the store. Her husband told me that she sensed some dark energy about me. I took this as me having darkness in my aura. 

The order of events gets a little foggy from here, and there were plenty of paranormal experiences in this time frame that may or may not have to do with this particular entity so I'll leave those out for now but I should point out that after the basement incident I made the very poor decision to use a ouija board in that basement. I wanted to contact my uncle but I believe I invited in other spirits and perhaps allowed this entity to gain a stronger hold on me. 

Shortly after that I started hearing him in my head. It sounds crazy, and maybe it is, but he was communicating with me very clearly and non-threateningly. He told me his name (which I have since forgotten) and quite a bit about who he supposedly was. I don't remember all of the details but he claimed to be someone from one of my past lives that was very similar to this one in which I committed suicide at the age of 17. He implied that he was trying to help me. 

Things started to get scary for awhile and I assumed it was this spirit and that he was trying to trick me somehow so I decided to do a binding ceremony. Considering the fact that I was in my early teens and had no idea what I was dealing with (still don't but I'd like to think I'm a little more cautious now) I don't think it went as planned. 

He stopped talking in my head. I haven't exactly seen him since. But I have felt him, although I wasn't sure if it was him or not at the time. My husband has caught glimpses of him in every house we have lived in (5 different locations) and thought that it was something haunting him. I have saged my homes. I have cleansed this home of negative energies. But there is something here. 

The reason I'm writing about this now is because last night I had a conversation with someone who barely knows me. She is my step brother's girlfriend and we haven't spoken much but my mom brought up the shop incident and asked what it was that the owner had said to me. When I answered that my energy bothered her she said that she didn't think it was mine. She said that when she first met me she also had to leave quickly because she saw a cloaked figure standing behind me and that he didn't want anyone else near me. She's very scared of him and didn't even want to say anything to me about it. She didn't want to admit that he was there last night, too, but he was. What threw me off was that she described him to a T without ever knowing my story.

So, here I am at 26 years old, this entity has been following me around for around 18 years. I thought he was gone. I have gone back and forth between feeling like he is malevolent and feeling like he is a misunderstood guiding spirit... But either way I feel like he is hindering me from reaching my full potential. 

Does anyone have any advice or experience with something similar? Especially considering I believe I have bound him to me? I'm not sure I should release him from his binding because he could be malevolent and I don't want to release that into the world, but I would also like to be free of him."
